fileName,Bat,Cockatoo,Crocodile,Dingo,Duck,Frog,FrogmouthTawny,Koala,Kookaburra,Magpie,Platypus,Possum,Snake,Wombat
0_54_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0_55_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0_56_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0_57_0_7,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0_58_0_7,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0_59_0_7,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0_60_0_7,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0_61_0_7,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0_62_0_7,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0_63_0_7,1,0,0,0,0,0,0,1,0,0,0,0,0,0
0_64_0_8,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0_65_0_8,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0_66_0_8,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0_67_0_8,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0_68_0_8,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0_69_0_8,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0_70_0_8,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0_71_0_8,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0_72_0_8,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0_73_0_8,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0_74_0_8,1,0,0,0,0,0,0,0,1,0,0,0,0,0
0_75_0_9,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0_76_0_9,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0_77_0_9,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0_78_0_9,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0_79_0_9,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0_80_0_9,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0_81_0_9,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0_82_0_9,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0_83_0_9,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0_84_0_9,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0_85_0_10,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0_86_0_10,1,0,0,0,0,0,0,0,0,0,1,0,0,0
0_87_0_11,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0_88_0_11,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0_89_0_11,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0_90_0_11,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0_91_0_11,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0_92_0_11,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0_93_0_11,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0_94_0_11,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0_95_0_11,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0_96_0_11,1,0,0,0,0,0,0,0,0,0,0,1,0,0
0_97_0_12,1,0,0,0,0,0,0,0,0,0,0,0,1,0
0_98_0_13,1,0,0,0,0,0,0,0,0,0,0,0,0,1
0_99_0_13,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10_100_0_13,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10_101_0_13,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10_102_0_13,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10_103_0_13,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10_104_0_13,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10_14_0_1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10_15_0_1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10_16_0_1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10_17_0_1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10_18_0_1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10_19_0_1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
10_20_0_2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
10_21_0_2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
10_22_0_2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
10_23_0_2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
10_24_0_2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
10_25_0_2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
10_26_0_2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
10_27_0_2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
10_28_0_2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
10_29_0_2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
10_30_0_3,1,0,0,1,0,0,0,0,0,0,0,0,0,0
10_31_0_4,1,0,0,0,1,0,0,0,0,0,0,0,0,0
10_32_0_4,1,0,0,0,1,0,0,0,0,0,0,0,0,0
10_33_0_4,1,0,0,0,1,0,0,0,0,0,0,0,0,0
10_34_0_4,1,0,0,0,1,0,0,0,0,0,0,0,0,0
10_35_0_4,1,0,0,0,1,0,0,0,0,0,0,0,0,0
10_36_0_4,1,0,0,0,1,0,0,0,0,0,0,0,0,0
10_37_0_4,1,0,0,0,1,0,0,0,0,0,0,0,0,0
10_38_0_4,1,0,0,0,1,0,0,0,0,0,0,0,0,0
10_39_0_5,1,0,0,0,0,1,0,0,0,0,0,0,0,0
10_40_0_5,1,0,0,0,0,1,0,0,0,0,0,0,0,0
10_41_0_5,1,0,0,0,0,1,0,0,0,0,0,0,0,0
10_42_0_5,1,0,0,0,0,1,0,0,0,0,0,0,0,0
10_43_0_5,1,0,0,0,0,1,0,0,0,0,0,0,0,0
10_44_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
10_45_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
10_46_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
10_47_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
10_48_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
10_49_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
10_50_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
10_51_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
10_52_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
10_53_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
10_54_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
10_55_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
10_56_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
10_57_0_7,1,0,0,0,0,0,0,1,0,0,0,0,0,0
10_58_0_7,1,0,0,0,0,0,0,1,0,0,0,0,0,0
10_59_0_7,1,0,0,0,0,0,0,1,0,0,0,0,0,0
10_60_0_7,1,0,0,0,0,0,0,1,0,0,0,0,0,0
10_61_0_7,1,0,0,0,0,0,0,1,0,0,0,0,0,0
10_62_0_7,1,0,0,0,0,0,0,1,0,0,0,0,0,0
10_63_0_7,1,0,0,0,0,0,0,1,0,0,0,0,0,0
10_64_0_8,1,0,0,0,0,0,0,0,1,0,0,0,0,0
10_65_0_8,1,0,0,0,0,0,0,0,1,0,0,0,0,0
10_66_0_8,1,0,0,0,0,0,0,0,1,0,0,0,0,0
10_67_0_8,1,0,0,0,0,0,0,0,1,0,0,0,0,0
10_68_0_8,1,0,0,0,0,0,0,0,1,0,0,0,0,0
10_69_0_8,1,0,0,0,0,0,0,0,1,0,0,0,0,0
10_70_0_8,1,0,0,0,0,0,0,0,1,0,0,0,0,0
10_71_0_8,1,0,0,0,0,0,0,0,1,0,0,0,0,0
10_72_0_8,1,0,0,0,0,0,0,0,1,0,0,0,0,0
10_73_0_8,1,0,0,0,0,0,0,0,1,0,0,0,0,0
10_74_0_8,1,0,0,0,0,0,0,0,1,0,0,0,0,0
10_75_0_9,1,0,0,0,0,0,0,0,0,1,0,0,0,0
10_76_0_9,1,0,0,0,0,0,0,0,0,1,0,0,0,0
10_77_0_9,1,0,0,0,0,0,0,0,0,1,0,0,0,0
10_78_0_9,1,0,0,0,0,0,0,0,0,1,0,0,0,0
10_79_0_9,1,0,0,0,0,0,0,0,0,1,0,0,0,0
10_80_0_9,1,0,0,0,0,0,0,0,0,1,0,0,0,0
10_81_0_9,1,0,0,0,0,0,0,0,0,1,0,0,0,0
10_82_0_9,1,0,0,0,0,0,0,0,0,1,0,0,0,0
10_83_0_9,1,0,0,0,0,0,0,0,0,1,0,0,0,0
10_84_0_9,1,0,0,0,0,0,0,0,0,1,0,0,0,0
10_85_0_10,1,0,0,0,0,0,0,0,0,0,1,0,0,0
10_86_0_10,1,0,0,0,0,0,0,0,0,0,1,0,0,0
10_87_0_11,1,0,0,0,0,0,0,0,0,0,0,1,0,0
10_88_0_11,1,0,0,0,0,0,0,0,0,0,0,1,0,0
10_89_0_11,1,0,0,0,0,0,0,0,0,0,0,1,0,0
10_90_0_11,1,0,0,0,0,0,0,0,0,0,0,1,0,0
10_91_0_11,1,0,0,0,0,0,0,0,0,0,0,1,0,0
10_92_0_11,1,0,0,0,0,0,0,0,0,0,0,1,0,0
10_93_0_11,1,0,0,0,0,0,0,0,0,0,0,1,0,0
10_94_0_11,1,0,0,0,0,0,0,0,0,0,0,1,0,0
10_95_0_11,1,0,0,0,0,0,0,0,0,0,0,1,0,0
10_96_0_11,1,0,0,0,0,0,0,0,0,0,0,1,0,0
10_97_0_12,1,0,0,0,0,0,0,0,0,0,0,0,1,0
10_98_0_13,1,0,0,0,0,0,0,0,0,0,0,0,0,1
10_99_0_13,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11_100_0_13,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11_101_0_13,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11_102_0_13,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11_103_0_13,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11_104_0_13,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11_14_0_1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11_15_0_1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11_16_0_1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11_17_0_1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11_18_0_1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11_19_0_1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11_20_0_2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
11_21_0_2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
11_22_0_2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
11_23_0_2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
11_24_0_2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
11_25_0_2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
11_26_0_2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
11_27_0_2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
11_28_0_2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
11_29_0_2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
11_30_0_3,1,0,0,1,0,0,0,0,0,0,0,0,0,0
11_31_0_4,1,0,0,0,1,0,0,0,0,0,0,0,0,0
11_32_0_4,1,0,0,0,1,0,0,0,0,0,0,0,0,0
11_33_0_4,1,0,0,0,1,0,0,0,0,0,0,0,0,0
11_34_0_4,1,0,0,0,1,0,0,0,0,0,0,0,0,0
11_35_0_4,1,0,0,0,1,0,0,0,0,0,0,0,0,0
11_36_0_4,1,0,0,0,1,0,0,0,0,0,0,0,0,0
11_37_0_4,1,0,0,0,1,0,0,0,0,0,0,0,0,0
11_38_0_4,1,0,0,0,1,0,0,0,0,0,0,0,0,0
11_39_0_5,1,0,0,0,0,1,0,0,0,0,0,0,0,0
11_40_0_5,1,0,0,0,0,1,0,0,0,0,0,0,0,0
11_41_0_5,1,0,0,0,0,1,0,0,0,0,0,0,0,0
11_42_0_5,1,0,0,0,0,1,0,0,0,0,0,0,0,0
11_43_0_5,1,0,0,0,0,1,0,0,0,0,0,0,0,0
11_44_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
11_45_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
11_46_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
11_47_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
11_48_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
11_49_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
11_50_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
11_51_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
11_52_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
11_53_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
11_54_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
11_55_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
11_56_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
11_57_0_7,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11_58_0_7,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11_59_0_7,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11_60_0_7,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11_61_0_7,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11_62_0_7,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11_63_0_7,1,0,0,0,0,0,0,1,0,0,0,0,0,0
11_64_0_8,1,0,0,0,0,0,0,0,1,0,0,0,0,0
11_65_0_8,1,0,0,0,0,0,0,0,1,0,0,0,0,0
11_66_0_8,1,0,0,0,0,0,0,0,1,0,0,0,0,0
11_67_0_8,1,0,0,0,0,0,0,0,1,0,0,0,0,0
11_68_0_8,1,0,0,0,0,0,0,0,1,0,0,0,0,0
11_69_0_8,1,0,0,0,0,0,0,0,1,0,0,0,0,0
11_70_0_8,1,0,0,0,0,0,0,0,1,0,0,0,0,0
11_71_0_8,1,0,0,0,0,0,0,0,1,0,0,0,0,0
11_72_0_8,1,0,0,0,0,0,0,0,1,0,0,0,0,0
11_73_0_8,1,0,0,0,0,0,0,0,1,0,0,0,0,0
11_74_0_8,1,0,0,0,0,0,0,0,1,0,0,0,0,0
11_75_0_9,1,0,0,0,0,0,0,0,0,1,0,0,0,0
11_76_0_9,1,0,0,0,0,0,0,0,0,1,0,0,0,0
11_77_0_9,1,0,0,0,0,0,0,0,0,1,0,0,0,0
11_78_0_9,1,0,0,0,0,0,0,0,0,1,0,0,0,0
11_79_0_9,1,0,0,0,0,0,0,0,0,1,0,0,0,0
11_80_0_9,1,0,0,0,0,0,0,0,0,1,0,0,0,0
11_81_0_9,1,0,0,0,0,0,0,0,0,1,0,0,0,0
11_82_0_9,1,0,0,0,0,0,0,0,0,1,0,0,0,0
11_83_0_9,1,0,0,0,0,0,0,0,0,1,0,0,0,0
11_84_0_9,1,0,0,0,0,0,0,0,0,1,0,0,0,0
11_85_0_10,1,0,0,0,0,0,0,0,0,0,1,0,0,0
11_86_0_10,1,0,0,0,0,0,0,0,0,0,1,0,0,0
11_87_0_11,1,0,0,0,0,0,0,0,0,0,0,1,0,0
11_88_0_11,1,0,0,0,0,0,0,0,0,0,0,1,0,0
11_89_0_11,1,0,0,0,0,0,0,0,0,0,0,1,0,0
11_90_0_11,1,0,0,0,0,0,0,0,0,0,0,1,0,0
11_91_0_11,1,0,0,0,0,0,0,0,0,0,0,1,0,0
11_92_0_11,1,0,0,0,0,0,0,0,0,0,0,1,0,0
11_93_0_11,1,0,0,0,0,0,0,0,0,0,0,1,0,0
11_94_0_11,1,0,0,0,0,0,0,0,0,0,0,1,0,0
11_95_0_11,1,0,0,0,0,0,0,0,0,0,0,1,0,0
11_96_0_11,1,0,0,0,0,0,0,0,0,0,0,1,0,0
11_97_0_12,1,0,0,0,0,0,0,0,0,0,0,0,1,0
11_98_0_13,1,0,0,0,0,0,0,0,0,0,0,0,0,1
11_99_0_13,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12_100_0_13,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12_101_0_13,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12_102_0_13,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12_103_0_13,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12_104_0_13,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12_14_0_1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
12_15_0_1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
12_16_0_1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
12_17_0_1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
12_18_0_1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
12_19_0_1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
12_20_0_2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
12_21_0_2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
12_22_0_2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
12_23_0_2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
12_24_0_2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
12_25_0_2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
12_26_0_2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
12_27_0_2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
12_28_0_2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
12_29_0_2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
12_30_0_3,1,0,0,1,0,0,0,0,0,0,0,0,0,0
12_31_0_4,1,0,0,0,1,0,0,0,0,0,0,0,0,0
12_32_0_4,1,0,0,0,1,0,0,0,0,0,0,0,0,0
12_33_0_4,1,0,0,0,1,0,0,0,0,0,0,0,0,0
12_34_0_4,1,0,0,0,1,0,0,0,0,0,0,0,0,0
12_35_0_4,1,0,0,0,1,0,0,0,0,0,0,0,0,0
12_36_0_4,1,0,0,0,1,0,0,0,0,0,0,0,0,0
12_37_0_4,1,0,0,0,1,0,0,0,0,0,0,0,0,0
12_38_0_4,1,0,0,0,1,0,0,0,0,0,0,0,0,0
12_39_0_5,1,0,0,0,0,1,0,0,0,0,0,0,0,0
12_40_0_5,1,0,0,0,0,1,0,0,0,0,0,0,0,0
12_41_0_5,1,0,0,0,0,1,0,0,0,0,0,0,0,0
12_42_0_5,1,0,0,0,0,1,0,0,0,0,0,0,0,0
12_43_0_5,1,0,0,0,0,1,0,0,0,0,0,0,0,0
12_44_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
12_45_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
12_46_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
12_47_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
12_48_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
12_49_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
12_50_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
12_51_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
12_52_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
12_53_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
12_54_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
12_55_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
12_56_0_6,1,0,0,0,0,0,1,0,0,0,0,0,0,0
12_57_0_7,1,0,0,0,0,0,0,1,0,0,0,0,0,0
12_58_0_7,1,0,0,0,0,0,0,1,0,0,0,0,0,0
12_59_0_7,1,0,0,0,0,0,0,1,0,0,0,0,0,0
12_60_0_7,1,0,0,0,0,0,0,1,0,0,0,0,0,0
12_61_0_7,1,0,0,0,0,0,0,1,0,0,0,0,0,0
12_62_0_7,1,0,0,0,0,0,0,1,0,0,0,0,0,0
12_63_0_7,1,0,0,0,0,0,0,1,0,0,0,0,0,0
12_64_0_8,1,0,0,0,0,0,0,0,1,0,0,0,0,0
12_65_0_8,1,0,0,0,0,0,0,0,1,0,0,0,0,0
12_66_0_8,1,0,0,0,0,0,0,0,1,0,0,0,0,0
12_67_0_8,1,0,0,0,0,0,0,0,1,0,0,0,0,0
12_68_0_8,1,0,0,0,0,0,0,0,1,0,0,0,0,0
12_69_0_8,1,0,0,0,0,0,0,0,1,0,0,0,0,0
12_70_0_8,1,0,0,0,0,0,0,0,1,0,0,0,0,0
12_71_0_8,1,0,0,0,0,0,0,0,1,0,0,0,0,0
12_72_0_8,1,0,0,0,0,0,0,0,1,0,0,0,0,0
12_73_0_8,1,0,0,0,0,0,0,0,1,0,0,0,0,0
12_74_0_8,1,0,0,0,0,0,0,0,1,0,0,0,0,0
12_75_0_9,1,0,0,0,0,0,0,0,0,1,0,0,0,0
12_76_0_9,1,0,0,0,0,0,0,0,0,1,0,0,0,0
12_77_0_9,1,0,0,0,0,0,0,0,0,1,0,0,0,0
12_78_0_9,1,0,0,0,0,0,0,0,0,1,0,0,0,0
12_79_0_9,1,0,0,0,0,0,0,0,0,1,0,0,0,0
12_80_0_9,1,0,0,0,0,0,0,0,0,1,0,0,0,0
12_81_0_9,1,0,0,0,0,0,0,0,0,1,0,0,0,0
12_82_0_9,1,0,0,0,0,0,0,0,0,1,0,0,0,0
12_83_0_9,1,0,0,0,0,0,0,0,0,1,0,0,0,0
12_84_0_9,1,0,0,0,0,0,0,0,0,1,0,0,0,0
12_85_0_10,1,0,0,0,0,0,0,0,0,0,1,0,0,0
12_86_0_10,1,0,0,0,0,0,0,0,0,0,1,0,0,0
12_87_0_11,1,0,0,0,0,0,0,0,0,0,0,1,0,0
12_88_0_11,1,0,0,0,0,0,0,0,0,0,0,1,0,0
12_89_0_11,1,0,0,0,0,0,0,0,0,0,0,1,0,0
12_90_0_11,1,0,0,0,0,0,0,0,0,0,0,1,0,0
12_91_0_11,1,0,0,0,0,0,0,0,0,0,0,1,0,0
12_92_0_11,1,0,0,0,0,0,0,0,0,0,0,1,0,0
12_93_0_11,1,0,0,0,0,0,0,0,0,0,0,1,0,0
12_94_0_11,1,0,0,0,0,0,0,0,0,0,0,1,0,0
12_95_0_11,1,0,0,0,0,0,0,0,0,0,0,1,0,0
12_96_0_11,1,0,0,0,0,0,0,0,0,0,0,1,0,0
12_97_0_12,1,0,0,0,0,0,0,0,0,0,0,0,1,0
12_98_0_13,1,0,0,0,0,0,0,0,0,0,0,0,0,1
12_99_0_13,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13_100_0_13,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13_101_0_13,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13_102_0_13,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13_103_0_13,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13_104_0_13,1,0,0,0,0,0,0,0,0,0,0,0,0,1
13_14_0_1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13_15_0_1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13_16_0_1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13_17_0_1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13_18_0_1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13_19_0_1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
13_20_0_2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
13_21_0_2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
13_22_0_2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
13_23_0_2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
13_24_0_2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
13_25_0_2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
13_26_0_2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
13_27_0_2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
13_28_0_2,1,0,1,0,0,0,0,0,0,0,0,0,0,0
